eating_place,busy_metric,time_day,day_week
Bytes,1.0310146959221584,13.1,M
Hillman Food,9.693811235799412,13.1,T
DUC,23.40800032039911,13.1,T
Subway,36.27042825368865,13.1,T
Parkside,9.9772243862075,13.1,T
Whispers,76.1835312838589,13.1,T
Stanleys,24.32050091380696,13.1,T
Law Cafe,15.534768626315362,13.1,T
Bytes,0.7695940725620719,13.1,T
Hillman Food,29.060891724743435,13.1,W
DUC,62.85175207954797,13.1,W
Subway,77.73888085497929,13.1,W
Parkside,30.79891837647414,13.1,W
Whispers,111.34444730311183,13.1,W
Stanleys,55.873596795467165,13.1,W
Law Cafe,51.3519497766746,13.1,W
Bytes,0.727176156517456,13.1,W
Hillman Food,12.80281404108137,13.1,H
DUC,30.63225404969234,13.1,H
Subway,43.88710890384952,13.1,H
Parkside,12.977685009301952,13.1,H
Whispers,83.12555142136912,13.1,H
Stanleys,29.477937346196853,13.1,H
Law Cafe,21.704199412000126,13.1,H
Bytes,0.7221736692138704,13.1,H
Hillman Food,4.7825846049042475,13.1,F
DUC,9.0963240560795,13.1,F
Subway,17.909548269427212,13.1,F
Parkside,5.850142756131153,13.1,F
Whispers,46.41819775169362,13.1,F
Stanleys,13.25959765626503,13.1,F
Law Cafe,5.63618340643249,13.1,F
Bytes,0.7092502402225789,13.1,F
Hillman Food,64.803454988666,13.2,M
DUC,141.12216976036643,13.2,M
Subway,166.90069825287787,13.2,M
Parkside,68.0563829248894,13.2,M
Whispers,212.7612123421636,13.2,M
Stanleys,120.06421710050601,13.2,M
Law Cafe,118.42756531956108,13.2,M
Bytes,0.9157813117967167,13.2,M
Hillman Food,8.724430112218936,13.2,T
DUC,21.067200288349508,13.2,T
Subway,32.6433854282679,13.2,T
Parkside,8.979501947571496,13.2,T
Whispers,68.56517815520851,13.2,T
Stanleys,21.88845082235469,13.2,T
Law Cafe,13.981291763683812,13.2,T
Bytes,0.6926346653058644,13.2,T
Hillman Food,26.25563678110712,13.2,W
DUC,56.79090115046211,13.2,W
Subway,70.21504925841495,13.2,W
Parkside,27.821877963808507,13.2,W
Whispers,100.48037341836874,13.2,W
Stanleys,50.46248777383129,13.2,W
Law Cafe,46.40832930693496,13.2,W
Bytes,0.6544562606497648,13.2,W
Hillman Food,11.522532636972851,13.2,H
DUC,27.569028644716187,13.2,H
Subway,39.49839801342751,13.2,H
Parkside,11.679916508360861,13.2,H
Whispers,74.8129962790433,13.2,H
Stanleys,26.530143611526046,13.2,H
Law Cafe,19.533779470800106,13.2,H
Bytes,0.6499563022924832,13.2,H
Hillman Food,4.2686306939342415,13.2,F
DUC,8.18669165047155,13.2,F
Subway,16.007384754016773,13.2,F
Parkside,5.184466708150113,13.2,F
Whispers,41.3244544562881,13.2,F
Stanleys,11.792654114083222,13.2,F
Law Cafe,5.072565065789242,13.2,F
Bytes,0.6261933016670953,13.2,F
Hillman Food,57.20645498467619,13.3,M
DUC,125.44192867588127,13.3,M
Subway,147.12052413069455,13.3,M
Parkside,59.59832068470254,13.3,M
Whispers,184.09970519041033,13.3,M
Stanleys,105.15726212761305,13.3,M
Law Cafe,105.26894695072095,13.3,M
Bytes,0.6792287823390163,13.3,M
Hillman Food,7.755049273501907,13.3,T
DUC,18.726401689312528,13.3,T
Subway,29.016347136377508,13.3,T
Parkside,7.981779725527757,13.3,T
Whispers,60.9468306494172,13.3,T
Stanleys,19.456403165417655,13.3,T
Law Cafe,12.427814914794105,13.3,T
Bytes,0.6156752609008465,13.3,T
Hillman Food,23.450136121941068,13.3,W
DUC,50.7300200918509,13.3,W
Subway,62.69110863834546,13.3,W
Parkside,24.844210655794548,13.3,W
Whispers,89.61502044354144,13.3,W
Stanleys,45.04709210472667,13.3,W
Law Cafe,41.464698891490464,13.3,W
Bytes,0.5816983611829758,13.3,W
Hillman Food,10.242251517717044,13.3,H
DUC,24.50580467251962,13.3,H
Subway,35.10969165528822,13.3,H
Parkside,10.382148223645217,13.3,H
Whispers,66.50044675321607,13.3,H
Stanleys,23.582352309649295,13.3,H
Law Cafe,17.363359543341534,13.3,H
Bytes,0.5777389382222804,13.3,H
Hillman Food,3.397722278168422,13.3,F
DUC,7.2770592448636,13.3,F
Subway,12.993134353929106,13.3,F
Parkside,3.7121729364898335,13.3,F
Whispers,31.71147595852106,13.3,F
Stanleys,8.915872806348357,13.3,F
Law Cafe,4.508946725145992,13.3,F
Bytes,0.42181721777935255,13.3,F
Hillman Food,49.68084588164556,13.4,M
DUC,109.76168759139613,13.4,M
Subway,127.56276738544665,13.4,M
Parkside,51.301581989251524,13.4,M
Whispers,156.34204507912946,13.4,M
Stanleys,90.53227470783072,13.4,M
Law Cafe,92.11032858188085,13.4,M
Bytes,0.46694008194776737,13.4,M
Hillman Food,6.7856681240257295,13.4,T
DUC,16.385601527006674,13.4,T
Subway,25.389303898911972,13.4,T
Parkside,6.984057267229284,13.4,T
Whispers,53.32847701007871,13.4,T
Stanleys,17.024352852775955,13.4,T
Law Cafe,10.874338050913323,13.4,T
Bytes,0.5387158533854405,13.4,T
Hillman Food,20.6449303214107,13.4,W
DUC,44.66917518867012,13.4,W
Subway,55.167298846482154,13.4,W
Parkside,21.867295622198586,13.4,W
Whispers,78.75120237681519,13.4,W
Stanleys,39.636840412584554,13.4,W
Law Cafe,36.52108041089179,13.4,W
Bytes,0.5089860660351038,13.4,W
Hillman Food,8.961970087713519,13.4,H
DUC,21.442579137303362,13.4,H
Subway,30.720980352907894,13.4,H
Parkside,9.084379703067079,13.4,H
Whispers,58.18789110064295,13.4,H
Stanleys,20.634558353908346,13.4,H
Law Cafe,15.192939600892313,13.4,H
Bytes,0.505521571041695,13.4,H
Hillman Food,2.5982047633617653,13.4,F
DUC,6.36742683925565,13.4,F
Subway,10.201301330776888,13.4,F
Parkside,2.4012027095654016,13.4,F
Whispers,23.002344501226315,13.4,F
Stanleys,6.3210590517241085,13.4,F
Law Cafe,3.945328384502743,13.4,F
Bytes,0.24170496295806163,13.4,F
Hillman Food,60.550238786510036,14.1,M
DUC,135.64947698717245,14.1,M
Subway,151.8283592183544,14.1,M
Parkside,61.79676529864045,14.1,M
Whispers,165.85970211311465,14.1,M
Stanleys,106.92581176076975,14.1,M
Law Cafe,115.40220850603933,14.1,M
Bytes,2.791229051940676e-09,14.1,M
Hillman Food,2.6972027482962615e-07,14.1,T
